hex_id,time_bin,season,count
-14666_6813,Morning (06-11),Spring,1
-14666_6813,Morning (06-11),Summer,1
-14666_6813,Morning (06-11),Fall,0
-14666_6813,Afternoon (12-17),Winter,0
-14666_6813,Afternoon (12-17),Spring,0
-14666_6813,Afternoon (12-17),Summer,1
-14666_6813,Afternoon (12-17),Fall,0
-14666_6813,Evening (18-23),Winter,0
-14666_6813,Evening (18-23),Spring,0
-14666_6813,Evening (18-23),Summer,5
-14666_6813,Evening (18-23),Fall,1
-14666_6814,Night (00-05),Winter,0
-14666_6814,Night (00-05),Spring,0
-14666_6814,Night (00-05),Summer,1
-14666_6814,Night (00-05),Fall,0
-14666_6814,Morning (06-11),Winter,0
-14666_6814,Morning (06-11),Spring,0
-14666_6814,Morning (06-11),Summer,0
-14666_6814,Morning (06-11),Fall,0
-14666_6814,Afternoon (12-17),Winter,0
-14666_6814,Afternoon (12-17),Spring,0
-14666_6814,Afternoon (12-17),Summer,0
-14666_6814,Afternoon (12-17),Fall,0
-14666_6814,Evening (18-23),Winter,0
-14666_6814,Evening (18-23),Spring,0
-14666_6814,Evening (18-23),Summer,0
-14666_6814,Evening (18-23),Fall,0
-14666_6821,Night (00-05),Winter,0
-14666_6821,Night (00-05),Spring,0
-14666_6821,Night (00-05),Summer,0
-14666_6821,Night (00-05),Fall,1
-14666_6821,Morning (06-11),Winter,0
-14666_6821,Morning (06-11),Spring,0
-14666_6821,Morning (06-11),Summer,0
-14666_6821,Morning (06-11),Fall,0
-14666_6821,Afternoon (12-17),Winter,1
-14666_6821,Afternoon (12-17),Spring,0
-14666_6821,Afternoon (12-17),Summer,0
-14666_6821,Afternoon (12-17),Fall,0
-14666_6821,Evening (18-23),Winter,0
-14666_6821,Evening (18-23),Spring,0
-14666_6821,Evening (18-23),Summer,0
-14666_6821,Evening (18-23),Fall,0
-14666_6822,Night (00-05),Winter,1
-14666_6822,Night (00-05),Spring,2
-14666_6822,Night (00-05),Summer,1
-14666_6822,Night (00-05),Fall,1
-14666_6822,Morning (06-11),Winter,0
-14666_6822,Morning (06-11),Spring,0
-14666_6822,Morning (06-11),Summer,0
-14666_6822,Morning (06-11),Fall,2
