variable,z_percentile,n,rho_spearman,p_value
arson,73,15,0.7062020262977928,0.003254548839979152
arson,74,15,0.5327276971369387,0.04089474275822893
arson,75,15,0.7771591093762106,0.0006514130333650522
arson,76,16,0.5660243618688565,0.02227969883221642
arson,77,15,0.8253908970506505,0.00015117553944269996
arson,78,15,0.7933541847594797,0.00041607357265554444
arson,79,15,0.8724200604772986,2.2151225228706916e-05
arson,80,16,0.8611530812511874,1.8332829269018502e-05
arson,81,15,0.876952164903847,1.7710405207816087e-05
arson,82,15,0.73646329364369,0.0017409804338497903
arson,83,15,0.9047710345471943,3.5879010252270017e-06
arson,84,16,0.8803583467782645,6.8193030788708215e-06
arson,85,15,0.8219544110739976,0.00017008940145687938
arson,86,15,0.7971326072617582,0.00037267479630395217
arson,87,15,0.6837882236210926,0.004939657920107517
arson,88,16,0.7612731204387461,0.0006132660907466779
arson,89,15,0.776983444089058,0.0006544577302678553
arson,90,15,0.8424927804137501,8.08055524805367e-05
arson,91,15,0.8012536783019802,0.00032962932248534465
arson,92,16,0.6220300080361193,0.01008701977986698
arson,93,15,0.7455209104480751,0.0014206881379425298
arson,94,15,0.5998231123371873,0.01809300713849246
arson,95,15,0.8617594254937162,3.633266719908983e-05
arson,96,16,0.853138622365439,2.6554578831496508e-05
arson,97,15,0.7878273714279476,0.00048690511454703585
arson,98,15,0.6517460087193762,0.008473650746322838
arson,99,15,0.7315990246537688,0.0019355455379104671
arson,100,15,0.8754746656028993,1.906842522665449e-05
assault,1,16,0.6242630871838051,0.009743975373002546
assault,2,15,-0.17169807684373384,0.5406268584369343
assault,3,15,0.7193411955126103,0.002504114878472177
assault,4,15,0.49672618000231145,0.05962044806544175
assault,5,16,0.7346181767055716,0.0011903570147208983
assault,6,15,0.6904846981852968,0.004376912539005167
assault,7,15,0.7708992893275451,0.0007672758608391919
assault,8,15,0.3242654497356571,0.23834896866484703
assault,9,16,0.6185583712171427,0.010639171863273997
assault,10,15,0.0,1.0
assault,11,15,0.8254154202518359,0.00015104706440344356
assault,12,15,0.7522550763173892,0.0012148481954358165
assault,13,16,0.7766699015680563,0.0004020645448636687
assault,14,15,0.7077478572757802,0.0031579519389850074
assault,15,15,0.36639674581314957,0.17920093211644467
assault,16,15,0.396774157198432,0.1431140387744784
assault,17,16,0.5631634947262625,0.023118268970431493
assault,18,15,0.8799161413307257,1.5227217272070685e-05
assault,19,15,0.7772909266606612,0.0006491358963326092
assault,20,15,0.7548583803659485,0.001142048576150962
assault,21,16,0.2933184213952713,0.27021060774419864
assault,22,15,0.5593275545127572,0.030170414937675173
assault,23,15,-0.024183796960722086,0.9318247028477744
assault,24,15,0.19771262487651362,0.47998445012028557
assault,25,15,0.5645500879365876,0.02834202982634045
assault,26,16,0.6390644422470537,0.0076963352497221955
assault,27,15,0.6492382728268505,0.008817010420125032
assault,28,15,0.749754730717506,0.0012882536578473966
assault,29,15,0.7512376246042091,0.0012442995125462944
assault,30,16,0.9347551398838491,1.1344580542775424e-07
assault,31,15,0.7698040943547262,0.0007891656748848509
assault,32,15,0.49696753268651783,0.059477213827034456
assault,33,15,0.14291607118427735,0.6113737651438127
assault,34,16,0.5632859757145365,0.023081877399865176
assault,35,15,0.8275186709024074,0.00014035710286821137
assault,36,15,0.6450712232900202,0.00941155185271227
assault,37,15,0.8194321687150398,0.0001851730495433525
assault,38,16,0.8752827118754609,8.994274854390306e-06
assault,39,15,0.57215450257636,0.02583105864961828
assault,40,15,0.8497269241281198,6.062999882138475e-05
assault,41,15,0.6679797245994689,0.006496535177949868
assault,42,16,0.502284124359045,0.047398960149560326
assault,43,15,0.3402069087198859,0.21470472659694545
assault,44,15,,
assault,45,15,,
assault,46,16,-0.24615708295465308,0.358089898752294
assault,47,15,-0.24765705082308256,0.37349851915208343
assault,48,15,,
assault,49,15,,
assault,50,15,0.6909925108281624,0.004336409807955504
assault,51,16,0.014782163840250774,0.9566685112545119
assault,52,15,0.7699222038954942,0.0007867809111786573
assault,53,15,0.6492382728268505,0.008817010420125032
assault,54,15,0.7277771971349434,0.0021003533927804927
assault,55,16,0.8470958037303535,3.462538831227076e-05
assault,56,15,0.8157437024080745,0.00020919307061649937
assault,57,15,0.6797864186733954,0.0053023613533067825
assault,58,15,0.6903843699665891,0.004384950038776242
assault,59,16,0.5614968862712969,0.023617853112182254
assault,60,15,0.7257748517332032,0.0021910882032951592
assault,61,15,0.770008406725908,0.000785044073631156
assault,62,15,0.15978687778579387,0.5694649866292685
assault,63,16,0.5733490632902162,0.02023938322532927
assault,64,15,0.8139547907799867,0.0002217303129025861
assault,65,15,0.827218739999345,0.00014184232623746414
assault,66,15,0.8118331716947306,0.00023739097393033577
assault,67,16,0.8415643262692019,4.3722594495928606e-05
assault,68,15,0.9490620411681207,6.852114739418669e-08
assault,69,15,0.8425773768293927,8.054117900196379e-05
assault,70,15,0.8658332279945352,3.0221429469203243e-05
assault,71,16,0.7837691737029843,0.00032730749867470075
assault,72,15,0.9172899255161456,1.4804794811407824e-06
assault,73,15,0.9159227535809958,1.6414186620273511e-06
assault,74,15,0.4372797190996494,0.10311199150896208
assault,75,15,0.8398771658665483,8.934005446021362e-05
assault,76,16,0.4952024886484009,0.05113272621839022
assault,77,15,0.8318439070608655,0.00012032108405005354
assault,78,15,0.8460164536261133,7.0381284119886e-05
assault,79,15,0.7388205024002956,0.0016525318344922308
assault,80,16,0.8880716553106307,4.36882064868567e-06
assault,81,15,0.854076491298025,5.0647225370284065e-05
assault,82,15,0.7005497661123021,0.0036279981950262962
assault,83,15,0.6166222301374795,0.01435313739057063
assault,84,16,0.9402278034817345,6.23531426326705e-08
