variable,z_percentile,n,rho_spearman,p_value
burglary,25,14,0.6280211695560822,0.01617555746342919
burglary,26,12,0.6867783748638749,0.013623160958995392
burglary,27,21,0.1411330683981117,0.5417179512676876
burglary,28,36,0.6218455920547902,5.1570236745840796e-05
burglary,30,23,0.6732081480368076,0.0004306235666203396
burglary,32,20,0.729154271351797,0.00026481026659555263
burglary,33,7,0.1454785934906616,0.7556330131047918
burglary,34,31,0.5353906472486144,0.0019113630859886866
burglary,35,10,0.6260879033472617,0.052805188161649294
burglary,36,17,0.8096718427753482,8.203771814886506e-05
burglary,37,15,0.49776366322562793,0.05900651507566114
burglary,38,15,0.8705261253917933,2.426224163059664e-05
burglary,42,115,-0.10084591104281732,0.2835519303738059
burglary,47,19,0.3351474023460127,0.160720205996961
burglary,48,26,0.8209298511023292,2.786378981350426e-07
burglary,50,16,0.605349598584579,0.012961026210995581
burglary,51,20,0.51114068474663,0.02126133190745727
burglary,52,17,0.6760941575559497,0.002886580593073855
burglary,53,15,0.8138607680765513,0.00022240591305617516
burglary,54,16,0.5792636249376705,0.018699886990885702
burglary,55,9,0.6092717958449424,0.08156750706184374
burglary,57,36,0.7273449484829768,5.03460314641444e-07
burglary,58,8,0.6747477697966319,0.06640156509474056
burglary,59,23,0.5998073792095192,0.0024838492873300944
burglary,60,19,0.7265909003870802,0.00042602234884918524
burglary,61,9,0.22786635759382495,0.5554138874204528
burglary,62,23,0.6465086033731815,0.0008582450949562148
burglary,63,12,0.33625270480240615,0.28522608724863097
burglary,65,27,0.40252837200514824,0.037377834384043206
burglary,67,30,0.866252300626245,6.219219323138517e-10
burglary,68,24,0.8547162550974368,1.0542833186896269e-07
burglary,70,23,0.9248389509176714,2.8217576880089973e-10
burglary,71,23,0.7379913665414387,5.831380859005267e-05
burglary,73,18,0.8581821922906534,5.2214258663811954e-06
burglary,75,57,0.8119031705565487,1.822326626123367e-14
burglary,78,28,0.7509944123005595,4.137663931419125e-06
burglary,80,34,0.7120534885021973,2.328343057128376e-06
burglary,82,18,0.8419425980246089,1.1778547897372948e-05
burglary,83,19,0.8293034458107484,1.1352278076756126e-05
burglary,84,6,0.7650368522374495,0.0763256359782481
burglary,85,24,0.8623106779426076,6.061217284661224e-08
burglary,86,9,-0.1311557656467504,0.7366121888387377
burglary,87,17,0.7464699941714139,0.0005774894860797085
burglary,88,24,0.5341203050761796,0.007178079757932724
burglary,90,27,0.8331055176811247,6.941524820370372e-08
burglary,91,13,0.9146040214532883,1.1971809323297149e-05
burglary,92,12,0.4203158810030078,0.17368606045926618
burglary,93,21,0.7572314291269232,7.055257576123566e-05
burglary,94,24,0.8954717422094806,3.4342643602233086e-09
burglary,96,11,0.8454545454545455,0.0010451821458586869
burglary,97,27,0.786003238062258,1.1812696423169877e-06
burglary,98,24,0.7724309729579812,9.747930590761051e-06
burglary,99,5,0.6668859288553501,0.21889398131323157
burglary,100,14,0.9146464274533033,4.634806636547995e-06
concealed_carry_license_violation,1,17,0.4574056476168267,0.06488224538836879
concealed_carry_license_violation,2,7,,
concealed_carry_license_violation,3,23,0.3557611335309771,0.09570474476730202
concealed_carry_license_violation,4,14,0.14154779466778372,0.6293177533666142
concealed_carry_license_violation,5,25,0.17907914409593884,0.3917159633392402
concealed_carry_license_violation,7,16,0.26442761220393596,0.32233239366845445
concealed_carry_license_violation,8,14,0.8015390930158695,0.0005666468749827053
concealed_carry_license_violation,9,26,-0.12066482503198686,0.5570931671453285
concealed_carry_license_violation,10,12,0.4927302647003888,0.10362549927410522
concealed_carry_license_violation,11,21,-0.17078251276599332,0.45919963691149246
concealed_carry_license_violation,13,32,0.11385661458156725,0.5349495359367399
concealed_carry_license_violation,15,15,0.27222386095869194,0.32631787959890307
concealed_carry_license_violation,16,26,0.22630566258668466,0.26627375039058726
